"filename", "language", "Python", "Log", "CSV", "JSON", "YAML", "comment", "blank", "total"
"e:\KPI_HOSTING - V2.1\agents\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 2, 12
"e:\KPI_HOSTING - V2.1\agents\agent_manager.py", "Python", 56, 0, 0, 0, 0, 21, 19, 96
"e:\KPI_HOSTING - V2.1\agents\checkmk_collector.py", "Python", 24, 0, 0, 0, 0, 1, 10, 35
"e:\KPI_HOSTING - V2.1\agents\cortex_collector.py", "Python", 37, 0, 0, 0, 0, 17, 8, 62
"e:\KPI_HOSTING - V2.1\agents\glpi_collector.py", "Python", 24, 0, 0, 0, 0, 1, 10, 35
"e:\KPI_HOSTING - V2.1\agents\rapid7_collector.py", "Python", 26, 0, 0, 0, 0, 6, 9, 41
"e:\KPI_HOSTING - V2.1\analyzers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"e:\KPI_HOSTING - V2.1\analyzers\vcenter_analyser.py", "Python", 98, 0, 0, 0, 0, 8, 19, 125
"e:\KPI_HOSTING - V2.1\api\__init__.py", "Python", -14, 0, 0, 0, 0, 0, -2, -16
"e:\KPI_HOSTING - V2.1\api\api_dispatcher.py", "Python", -20, 0, 0, 0, 0, -10, -7, -37
"e:\KPI_HOSTING - V2.1\api\api_processor.py", "Python", -48, 0, 0, 0, 0, -16, -13, -77
"e:\KPI_HOSTING - V2.1\api\checkmk.py", "Python", -50, 0, 0, 0, 0, -47, -13, -110
"e:\KPI_HOSTING - V2.1\api\cortex.py", "Python", -37, 0, 0, 0, 0, -17, -8, -62
"e:\KPI_HOSTING - V2.1\api\facade.py", "Python", -3, 0, 0, 0, 0, 0, -3, -6
"e:\KPI_HOSTING - V2.1\api\glpi.py", "Python", -51, 0, 0, 0, 0, -23, -6, -80
"e:\KPI_HOSTING - V2.1\api\rapid7.py", "Python", -42, 0, 0, 0, 0, -16, -9, -67
"e:\KPI_HOSTING - V2.1\collectors\azure_collector.py", "Python", 36, 0, 0, 0, 0, 4, 7, 47
"e:\KPI_HOSTING - V2.1\collectors\csv_vcenter_collector.py", "Python", 24, 0, 0, 0, 0, 13, 8, 45
"e:\KPI_HOSTING - V2.1\collectors\inventory_manager.py", "Python", 40, 0, 0, 0, 0, 5, 23, 68
"e:\KPI_HOSTING - V2.1\collectors\vcenter_collector.py", "Python", -18, 0, 0, 0, 0, -58, 0, -76
"e:\KPI_HOSTING - V2.1\config\config.yaml", "YAML", 0, 0, 0, 0, 3, -6, -3, -6
"e:\KPI_HOSTING - V2.1\config\exceptions_oxya.csv", "CSV", 0, 0, 14, 0, 0, 0, 0, 14
"e:\KPI_HOSTING - V2.1\config\ngdt_portgroups.csv", "CSV", 0, 0, 348, 0, 0, 0, 0, 348
"e:\KPI_HOSTING - V2.1\config\normalization_maps.yaml", "YAML", 0, 0, 0, 0, 45, 0, 5, 50
"e:\KPI_HOSTING - V2.1\config\oxya_portgroups.csv", "CSV", 0, 0, 52, 0, 0, 0, 1, 53
"e:\KPI_HOSTING - V2.1\config\settings.py", "Python", 41, 0, 0, 0, 0, -6, 12, 47
"e:\KPI_HOSTING - V2.1\connectors\azure_connector.py", "Python", 211, 0, 0, 0, 0, 5, 30, 246
"e:\KPI_HOSTING - V2.1\connectors\checkmk_connector.py", "Python", 34, 0, 0, 0, 0, 1, 12, 47
"e:\KPI_HOSTING - V2.1\connectors\csv_vcenter_connector.py", "Python", 25, 0, 0, 0, 0, 0, 2, 27
"e:\KPI_HOSTING - V2.1\connectors\glpi_connector.py", "Python", 56, 0, 0, 0, 0, 2, 8, 66
"e:\KPI_HOSTING - V2.1\connectors\rapid7_connector.py", "Python", 44, 0, 0, 0, 0, 11, 7, 62
"e:\KPI_HOSTING - V2.1\connectors\sql_connector.py", "Python", 1, 0, 0, 0, 0, 0, 2, 3
