Date : 2025-09-03 16:50:52
Directory : e:\KPI_HOSTING - V2.1
Total : 77 files,  149183 codes, 867 comments, 587 blanks, all 150637 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |         13 |    144,389 |          0 |          0 |    144,389 |
| Python           |         38 |      2,264 |        863 |        524 |      3,651 |
| Log              |         18 |      1,773 |          0 |         18 |      1,791 |
| CSV              |          4 |        507 |          0 |          2 |        509 |
| YAML             |          2 |        119 |          4 |         19 |        142 |
| Markdown         |          1 |        104 |          0 |         24 |        128 |
| pip requirements |          1 |         27 |          0 |          0 |         27 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                              |         77 |    149,183 |        867 |        587 |    150,637 |
| . (Files)                                                      |          4 |        205 |         26 |         43 |        274 |
| agents                                                         |          6 |        177 |         46 |         58 |        281 |
| analyzers                                                      |          2 |         98 |          8 |         20 |        126 |
| collectors                                                     |          6 |        193 |         75 |         58 |        326 |
| config                                                         |          7 |        622 |         36 |         51 |        709 |
| connectors                                                     |          8 |        591 |         79 |         93 |        763 |
| db                                                             |          4 |        748 |        452 |        170 |      1,370 |
| exports                                                        |         13 |    144,389 |          0 |          0 |    144,389 |
| imports                                                        |          1 |         93 |          0 |          1 |         94 |
| logs                                                           |         18 |      1,773 |          0 |         18 |      1,791 |
| utils                                                          |          4 |        200 |         85 |         47 |        332 |
| workers                                                        |          4 |         94 |         60 |         28 |        182 |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                       | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------------+------------+------------+------------+------------+
| e:\KPI_HOSTING - V2.1\README.md                                | Markdown         |        104 |          0 |         24 |        128 |
| e:\KPI_HOSTING - V2.1\agents\__init__.py                       | Python           |         10 |          0 |          2 |         12 |
| e:\KPI_HOSTING - V2.1\agents\agent_manager.py                  | Python           |         56 |         21 |         19 |         96 |
| e:\KPI_HOSTING - V2.1\agents\checkmk_collector.py              | Python           |         24 |          1 |         10 |         35 |
| e:\KPI_HOSTING - V2.1\agents\cortex_collector.py               | Python           |         37 |         17 |          8 |         62 |
| e:\KPI_HOSTING - V2.1\agents\glpi_collector.py                 | Python           |         24 |          1 |         10 |         35 |
| e:\KPI_HOSTING - V2.1\agents\rapid7_collector.py               | Python           |         26 |          6 |          9 |         41 |
| e:\KPI_HOSTING - V2.1\analyzers\__init__.py                    | Python           |          0 |          0 |          1 |          1 |
| e:\KPI_HOSTING - V2.1\analyzers\vcenter_analyser.py            | Python           |         98 |          8 |         19 |        125 |
| e:\KPI_HOSTING - V2.1\collectors\__init__.py                   | Python           |         10 |          0 |          2 |         12 |
| e:\KPI_HOSTING - V2.1\collectors\aws_collector.py              | Python           |          6 |         10 |          1 |         17 |
| e:\KPI_HOSTING - V2.1\collectors\azure_collector.py            | Python           |         42 |         14 |          8 |         64 |
| e:\KPI_HOSTING - V2.1\collectors\csv_vcenter_collector.py      | Python           |         24 |         13 |          8 |         45 |
| e:\KPI_HOSTING - V2.1\collectors\inventory_manager.py          | Python           |         86 |         25 |         29 |        140 |
| e:\KPI_HOSTING - V2.1\collectors\vcenter_collector.py          | Python           |         25 |         13 |         10 |         48 |
| e:\KPI_HOSTING - V2.1\config\__init__.py                       | Python           |          2 |          7 |          3 |         12 |
| e:\KPI_HOSTING - V2.1\config\config.yaml                       | YAML             |         61 |          1 |         11 |         73 |
| e:\KPI_HOSTING - V2.1\config\exceptions_oxya.csv               | CSV              |         14 |          0 |          0 |         14 |
| e:\KPI_HOSTING - V2.1\config\ngdt_portgroups.csv               | CSV              |        348 |          0 |          0 |        348 |
| e:\KPI_HOSTING - V2.1\config\normalization_maps.yaml           | YAML             |         58 |          3 |          8 |         69 |
| e:\KPI_HOSTING - V2.1\config\oxya_portgroups.csv               | CSV              |         52 |          0 |          1 |         53 |
| e:\KPI_HOSTING - V2.1\config\settings.py                       | Python           |         87 |         25 |         28 |        140 |
| e:\KPI_HOSTING - V2.1\connectors\azure_connector.py            | Python           |        235 |         24 |         33 |        292 |
| e:\KPI_HOSTING - V2.1\connectors\checkmk_connector.py          | Python           |         34 |          1 |         12 |         47 |
| e:\KPI_HOSTING - V2.1\connectors\cortex_connector.py           | Python           |          8 |          3 |          1 |         12 |
| e:\KPI_HOSTING - V2.1\connectors\csv_vcenter_connector.py      | Python           |         25 |          0 |          2 |         27 |
| e:\KPI_HOSTING - V2.1\connectors\glpi_connector.py             | Python           |         56 |          2 |          8 |         66 |
