"Name","Key"
"seg-res-hpr-ngdt2-1","dvportgroup-768597"
"seg-res-ppd-ngdt2-1","dvportgroup-768593"
"seg-res-prd-ngdt2-1","dvportgroup-762996"
"DC-VCFRA-P-BAT-BNE","dvportgroup-121227"
"DC-VCFRA-P-REF-RHY","dvportgroup-121231"
"DC-VCFRA-P-DPL-WINDOWS","dvportgroup-121202"
"sof-DMZ-seg","dvportgroup-121230"
"DC-VCFRA-H-RES","dvportgroup-121248"
"DC-VCFRA-H-HEARTBEAT","dvportgroup-121252"
"DC-VCFRA-D-BACK","dvportgroup-121247"
"DC-VCFRA-REG-07-FRONT","dvportgroup-121244"
"DC-VCFRA-H-APPS","dvportgroup-121222"
"DC-VCFRA-REG-DHCP","dvportgroup-121221"
"seg-lan-prd-ngdt2-1","dvportgroup-162882"
"DC-VCFRA-P-BACK","dvportgroup-121243"
"Seg_VCSI-TEST","dvportgroup-121205"
"DC-VCFRA-H-BACK","dvportgroup-121199"
"L2E_VIC-E-PRD-FRONT-3300-ee364f6b","dvportgroup-163485"
"DC-VIC-E-NSX-DNS-5078","dvportgroup-182656"
"test-kevin-nsx-bgp-seg02","dvportgroup-655095"
"seg-dmz-prd-ngdt2-1","dvportgroup-164334"
"DC-VIC-E-NSX-VC-S-5033","dvportgroup-163457"
"DC-VIC-E-DEV-BACK-3152","dvportgroup-163472"
"DC-VCFRA-P-TOIP","dvportgroup-121253"
"DC-VCFRA-P-BAT-BNO","dvportgroup-121250"
"DC-VCFRA-P-ROF-RNB","dvportgroup-121249"
"DC-VIC-E-SEG-VC-IC-PROX","dvportgroup-121229"
"vgp-PROD-seg","dvportgroup-120979"
"DC-VCFRA-P-BAT-BCE","dvportgroup-121234"
"NSX-S_VCSI_PRD_INF_NETWORK","dvportgroup-121204"
"DC-VIC-E-NSX-DMZ-5051","dvportgroup-178169"
"NSX-S_VCSI_PRD_VC_SI_5015","dvportgroup-152262"
"seg-khe-prd-ngdt2-1","dvportgroup-762993"
"DC-VIC-E-PRD-APP-3301","dvportgroup-163456"
"NSX-S_SIDT_PRD","dvportgroup-121246"
"seg-lan-hpr-ngdt2-1","dvportgroup-164328"
"DC-VIC-E-NSX-DMZ-5037","dvportgroup-158239"
"DC-VCFRA-P-ROF-RIN","dvportgroup-121203"
"DC-VCFRA-H-FRONT","dvportgroup-121239"
"DC-VIC-E-PPD-FRONT-3250","dvportgroup-163476"
"DC-VCFRA-P-HLD-COM","dvportgroup-121211"
"NSX-S_VCSI_PRD_VC_SI_5","dvportgroup-163478"
"DC-VIN-DMZ-5076","dvportgroup-121235"
"ngdt2-wkld01-lin01-vds01-pg-VIC-E-INF-FRONT","dvportgroup-512043"
