"Name","Key"
"vNet_IaaS_NPRD_K_TIERS2","dvportgroup-23110"
"vNet_IaaS_PRD_R_TIERS0","dvportgroup-23098"
"vNet_IaaS_PRD_AD_Res","dvportgroup-125478"
"vNet_IaaS_DMZ_PRD - ID 2098","dvportgroup-112"
"vNet_IaaS_PRD_WITNESS_T0_MGMT","dvportgroup-348645"
"vNet_IaaS_PRD_M_ADMIN","dvportgroup-23102"
"vNet_IaaS_DMZ_NPRD - ID 2099","dvportgroup-111"
"vNet_IaaS_PRD_M_TIERS0","dvportgroup-23104"
"vNet_IaaS_PRD - ID 2117","dvportgroup-8155"
"vNet_IaaS_PRD - ID 2096","dvportgroup-118"
"vNet_IaaS_PRD_VCSI_SANDBOX","dvportgroup-220747"
"vNet_IaaS_PRD_DC_INT","dvportgroup-23100"
"vNet_IaaS_PRD_WITNESS_T0","dvportgroup-114636"
"Eurovia - Ext-DVUplinks-109","dvportgroup-110"
"vxw-vmknicPg-dvs-109-2110-af651f4b-ad5a-4bdf-a723-d5ddbf59bebd","dvportgroup-162"
"vNet_IaaS_PRD_WITNESS_VCSI_MGMT","dvportgroup-349896"
"vNet_IaaS_PRD_M_TIERS1","dvportgroup-23108"
"vNet_IaaS_PRD_K_TIERS2","dvportgroup-23109"
"vNet_IaaS_PRD_WITNESS_VCSI","dvportgroup-114637"
"vNet_IaaS_PRD_S_DMZ","dvportgroup-23105"
"vNet_IaaS_PRD_VCSI_DMZ","dvportgroup-220746"
"vNet_IaaS_PRD_AD_SERVICE","dvportgroup-77829"
"vNet_NSX - ID 2110","dvportgroup-119"
"vNet_IaaS_Trunk","dvportgroup-8157"
"vNet_IaaS_PRD_K_DMZ","dvportgroup-23097"
"vNet_IaaS_PRD_M_DMZ","dvportgroup-23114"
"vNet_IaaS_PRD_R_DMZ","dvportgroup-23103"
"vNet_IaaS_NPRD - ID 2118","dvportgroup-8156"
"vNet_IaaS_PRD_VCSI_HPROD","dvportgroup-220745"
"vNet_IaaS_NPRD_K_DMZ","dvportgroup-23113"
"vNet_IaaS_PRD - ID 2116","dvportgroup-8154"
"vNet_IaaS_NPRD - ID 2097","dvportgroup-117"
"vNet_IaaS_PRD_R_ADMIN","dvportgroup-23101"
"vNet_IaaS_PRD_S_TIERS2","dvportgroup-23111"
"vNet_IaaS_PRD_R_TIERS1","dvportgroup-23099"
"vNet_INF - ID 2086","dvportgroup-163"
"vNet_IaaS_PRD_S_ADMIN","dvportgroup-23112"
"vNet_IaaS_NPRD_K_TIERS1","dvportgroup-23106"
"vNet_IaaS_PRD - ID 2115","dvportgroup-8153"
"vNet_vMotion - ID 2091","dvportgroup-120"
"vNet_IaaS_PRD_K_ADMIN","dvportgroup-23093"
"vNet_IaaS_PRD_S_TIERS0","dvportgroup-23107"
"vNet_IaaS_PRD_K_TIERS1","dvportgroup-23092"
"vNet_IaaS_NPRD_INTERCO_LAB","dvportgroup-114633"
"vNet_IaaS_PRD_VCSI_TIER1","dvportgroup-220744"
"vNet_IaaS_PRD_K_TIERS0","dvportgroup-23091"
"Management Network","key-vim.host.PortGroup-Management Network"
"Management Network","key-vim.host.PortGroup-Management Network"
"Management Network","key-vim.host.PortGroup-Management Network"
"Management Network","key-vim.host.PortGroup-Management Network"
"VM Network","key-vim.host.PortGroup-VM Network"
