VM;Powerstate;Template;SRM Placeholder;Config status;DNS Name;Connection state;Guest state;Heartbeat;Consolidation Needed;PowerOn;Suspend time;Creation date;Change Version;CPUs;Memory;NICs;Disks;Total disk capacity MiB;min Required EVC Mode Key;Latency Sensitivity;EnableUUID;CBT;Primary IP Address;Network #1;Network #2;Network #3;Network #4;Network #5;Network #6;Network #7;Network #8;Num Monitors;Video Ram KiB;Resource pool;Folder ID;Folder;vApp;DAS protection;FT State;FT Role;FT Latency;FT Bandwidth;FT Sec. Latency;Provisioned MiB;In Use MiB;Unshared MiB;HA Restart Priority;HA Isolation Response;HA VM Monitoring;Cluster rule(s);Cluster rule name(s);Boot Required;Boot delay;Boot retry delay;Boot retry enabled;Boot BIOS setup;Reboot PowerOff;EFI Secure boot;Firmware;HW version;HW upgrade status;HW upgrade policy;HW target;Path;Log directory;Snapshot directory;Suspend directory;Annotation;VEEAM_LAST_SUCCESSFUL_BACKUP;Veeam_Backup;Datacenter;Cluster;Host;OS according to the configuration file;OS according to the VMware Tools;VM ID;SMBIOS UUID;VM UUID;VI SDK Server type;VI SDK API Version;VI SDK Server;VI SDK UUID
D01PRDADDSWDC01;poweredOn;False;False;green;D01PRDADDSWDC01.dom01.grpsc.net;connected;running;green;False;2025/05/27 03:18:51;;2020/06/25 12:56:27;2025/06/14 13:21:11;4;16 384;1;2;256 000;intel-haswell;normal;True;True;10.250.72.11;VIC-E-INF-TIER0-PED-572;;;;;;;;1;8 192;/DC-VIC-00/VIC-PRD-00/Resources;group-v1247;/DC-VIC-00/PA4/DC;;True;notConfigured;;gray;-1;-1;1 054 436;556 940;541 940;high;powerOff;vmMonitoringDisabled;;;False;0;10 000;False;False;False;False;efi;14;none;never;;[Vsan_Datastore] 78efc860-9ef3-33d2-d220-d4f5ef335d80/D01PRDADDSWDC01.vmx;[Vsan_Datastore] 78efc860-9ef3-33d2-d220-d4f5ef335d80/;[Vsan_Datastore] 78efc860-9ef3-33d2-d220-d4f5ef335d80/;[Vsan_Datastore] 78efc860-9ef3-33d2-d220-d4f5ef335d80/;;"Last backup: [15/06/2025 19:22:58]; Veeam server: [VICPRDVEEABCK04]; Job: [Job 2-PA4-T0-PRD]; Repository: [Catalyst_PA4]";;DC-VIC-00;VIC-PRD-00;vicprdhcitesx03.vc-ic.grpsc.net;Microsoft Windows Server 2016 or later (64-bit);Microsoft Windows Server 2016 or later (64-bit);vm-1289;421aad44-a9f5-d1e4-ee15-c99678931b7f;501a26c4-0fa2-1c86-e25d-e2d1f67d7345;VMware vCenter Server 8.0.3 build-24322831;8.0.3.0;vicprdvmwavce00.vc-ic.grpsc.net;1fbf157c-55b0-44ce-9153-db75c59f120a
D01PRDADDSWDC02;poweredOn;False;False;green;D01PRDADDSWDC02.dom01.grpsc.net;connected;running;green;False;2025/05/22 03:06:23;;2020/06/25 12:54:16;2025/06/14 12:03:32;4;16 384;1;2;256 000;intel-haswell;normal;True;True;10.253.72.11;VIC-E-INF-TIER0-PED-572;;;;;;;;1;8 192;/DC-VIC-00/VIC-PRD-00/Resources;group-v1355;/DC-VIC-00/PA3/DC;;True;notConfigured;;gray;-1;-1;1 056 472;887 300;873 236;high;powerOff;vmMonitoringDisabled;;;False;0;10 000;False;False;False;False;efi;14;none;never;;[Vsan_Datastore] 9a24c760-ec0e-e52a-82b0-d4f5ef33c500/D01PRDADDSWDC02.vmx;[Vsan_Datastore] 9a24c760-ec0e-e52a-82b0-d4f5ef33c500/;[Vsan_Datastore] 9a24c760-ec0e-e52a-82b0-d4f5ef33c500/;[Vsan_Datastore] 9a24c760-ec0e-e52a-82b0-d4f5ef33c500/;;"Last backup: [15/06/2025 21:01:28]; Veeam server: [VICPRDVEEABCK04]; Job: [Job 2-PA3-T0-PRD]; Repository: [Catalyst_PA3]";;DC-VIC-00;VIC-PRD-00;vicprdhcitesx08.vc-ic.grpsc.net;Microsoft Windows Server 2016 or later (64-bit);Microsoft Windows Server 2016 or later (64-bit);vm-1288;421a5d46-ea3c-2958-0e5e-40c6a0412423;501aecba-97ff-9314-f36d-015561869dd7;VMware vCenter Server 8.0.3 build-24322831;8.0.3.0;vicprdvmwavce00.vc-ic.grpsc.net;1fbf157c-55b0-44ce-9153-db75c59f120a
ENCPRDADDSWDC01;poweredOn;False;False;green;ENCPRDADDSWDC01.vincic-ec.grpsc.net;connected;running;green;False;2025/05/27 03:18:33;;2020/06/25 13:06:56;2025/06/14 13:12:47;4;16 384;1;2;256 000;intel-haswell;normal;True;True;10.250.60.11;VIC-E-INF-TIER0-PED-560;;;;;;;;1;8 192;/DC-VIC-00/VIC-PRD-00/Resources;group-v1247;/DC-VIC-00/PA4/DC;;True;notConfigured;;gray;-1;-1;1 052 036;796 728;784 992;high;powerOff;vmMonitoringDisabled;;;False;0;10 000;False;False;False;False;efi;14;none;never;;[Vsan_Datastore] 7fd3c860-764d-7064-95a6-d4f5ef332ca0/ENCPRDADDSWDC01.vmx;[Vsan_Datastore] 7fd3c860-764d-7064-95a6-d4f5ef332ca0/;[Vsan_Datastore] 7fd3c860-764d-7064-95a6-d4f5ef332ca0/;[Vsan_Datastore] 7fd3c860-764d-7064-95a6-d4f5ef332ca0/;;"Last backup: [15/06/2025 19:22:57]; Veeam server: [VICPRDVEEABCK04]; Job: [Job 2-PA4-T0-PRD]; Repository: [Catalyst_PA4]";;DC-VIC-00;VIC-PRD-00;vicprdhcitesx03.vc-ic.grpsc.net;Microsoft Windows Server 2016 or later (64-bit);Microsoft Windows Server 2016 or later (64-bit);vm-1294;421a1f71-fd90-722e-482a-fa18d94cdf07;501a61ce-8d52-3a4a-6811-d5dc8261a91e;VMware vCenter Server 8.0.3 build-24322831;8.0.3.0;vicprdvmwavce00.vc-ic.grpsc.net;1fbf157c-55b0-44ce-9153-db75c59f120a
ENCPRDADDSWDC02;poweredOn;False;False;green;ENCPRDADDSWDC02.vincic-ec.grpsc.net;connected;running;green;False;2025/05/22 03:00:23;;2020/06/25 13:16:23;2025/06/14 11:45:57;4;16 384;1;2;256 000;intel-haswell;normal;True;True;10.253.60.11;VIC-E-INF-TIER0-PED-560;;;;;;;;1;8 192;/DC-VIC-00/VIC-PRD-00/Resources;group-v1355;/DC-VIC-00/PA3/DC;;True;notConfigured;;gray;-1;-1;1 053 208;820 864;807 956;high;powerOff;vmMonitoringDisabled;;;False;0;10 000;False;False;False;False;efi;14;none;never;;[Vsan_Datastore] 9a24c760-2647-3d35-8abe-d4f5ef33c500/ENCPRDADDSWDC02.vmx;[Vsan_Datastore] 9a24c760-2647-3d35-8abe-d4f5ef33c500/;[Vsan_Datastore] 9a24c760-2647-3d35-8abe-d4f5ef33c500/;[Vsan_Datastore] 9a24c760-2647-3d35-8abe-d4f5ef33c500/;;"Last backup: [15/06/2025 21:01:25]; Veeam server: [VICPRDVEEABCK04]; Job: [Job 2-PA3-T0-PRD]; Repository: [Catalyst_PA3]";;DC-VIC-00;VIC-PRD-00;vicprdhcitesx04.vc-ic.grpsc.net;Microsoft Windows Server 2016 or later (64-bit);Microsoft Windows Server 2016 or later (64-bit);vm-1295;421aa7e5-1c12-4335-d36a-017a3bd94261;501a0324-d789-7dd8-2774-f4df7cd52aa3;VMware vCenter Server 8.0.3 build-24322831;8.0.3.0;vicprdvmwavce00.vc-ic.grpsc.net;1fbf157c-55b0-44ce-9153-db75c59f120a
export-T1-2019;poweredOff;True;False;green;;connected;notRunning;gray;False;;;2024/03/04 14:21:01;2024/03/04 14:30:52;2;4 096;1;1;102 400;;normal;True;;;VIC-E-INF-TIER0-PED-561;;;;;;;;1;4 096;;group-v1206;/DC-VIC-00/Templates (Windows);;;notConfigured;;gray;-1;-1;415 956;72 152;71 620;medium;powerOff;vmMonitoringDisabled;;;False;0;10 000;False;False;;True;efi;19;none;never;;[Vsan_Datastore] becae565-bcc9-4763-85db-d4f5ef42b838/export-T1-2019.vmtx;[Vsan_Datastore] becae565-bcc9-4763-85db-d4f5ef42b838/;[Vsan_Datastore] becae565-bcc9-4763-85db-d4f5ef42b838/;[Vsan_Datastore] becae565-bcc9-4763-85db-d4f5ef42b838/;;;;DC-VIC-00;VIC-PRD-00;vicprdhcitesx05.vc-ic.grpsc.net;Microsoft Windows Server 2016 (64-bit);Microsoft Windows Server 2016 (64-bit);vm-111050;421a2bb6-3c5c-d387-608f-3ef0c4d38c3e;501a0a02-db90-a2a3-9d81-9fcb0c84d118;VMware vCenter Server 8.0.3 build-24322831;8.0.3.0;vicprdvmwavce00.vc-ic.grpsc.net;1fbf157c-55b0-44ce-9153-db75c59f120a
EXTPRDADDSWDC01;poweredOn;False;False;green;EXTPRDADDSWDC01.vincic-ext.grpsc.net;connected;running;green;False;2025/05/27 03:27:35;;2020/06/25 13:20:58;2025/06/14 10:19:43;4;16 384;1;2;256 000;intel-haswell;normal;True;True;10.250.52.11;VIC-E-INF-TIER0-PED-552;;;;;;;;1;8 192;/DC-VIC-00/VIC-PRD-00/Resources;group-v1247;/DC-VIC-00/PA4/DC;;True;notConfigured;;gray;-1;-1;1 053 268;849 872;836 056;high;powerOff;vmMonitoringDisabled;;;False;0;10 000;False;False;False;False;efi;14;none;never;;[Vsan_Datastore] 96efc860-08cb-5ce3-b88b-d4f5ef33bf20/EXTPRDADDSWDC01.vmx;[Vsan_Datastore] 96efc860-08cb-5ce3-b88b-d4f5ef33bf20/;[Vsan_Datastore] 96efc860-08cb-5ce3-b88b-d4f5ef33bf20/;[Vsan_Datastore] 96efc860-08cb-5ce3-b88b-d4f5ef33bf20/;;"Last backup: [15/06/2025 19:15:20]; Veeam server: [VICPRDVEEABCK04]; Job: [Job 2-PA4-T0-PRD]; Repository: [Catalyst_PA4]";;DC-VIC-00;VIC-PRD-00;vicprdhcitesx05.vc-ic.grpsc.net;Microsoft Windows Server 2016 or later (64-bit);Microsoft Windows Server 2016 or later (64-bit);vm-1296;421a5a47-1834-634c-9e72-f5a3cc41e35d;501a4d05-62d3-b20c-4f68-42acbcef6c1d;VMware vCenter Server 8.0.3 build-24322831;8.0.3.0;vicprdvmwavce00.vc-ic.grpsc.net;1fbf157c-55b0-44ce-9153-db75c59f120a
EXTPRDADDSWDC02;poweredOn;False;False;green;EXTPRDADDSWDC02.vincic-ext.grpsc.net;connected;running;green;False;2025/05/22 02:57:42;;2020/06/25 13:23:06;2025/06/14 13:56:55;4;16 384;1;2;256 000;intel-haswell;normal;True;True;10.253.52.11;VIC-E-INF-TIER0-PED-552;;;;;;;;1;8 192;/DC-VIC-00/VIC-PRD-00/Resources;group-v1355;/DC-VIC-00/PA3/DC;;True;notConfigured;;gray;-1;-1;1 059 984;877 424;863 064;high;powerOff;vmMonitoringDisabled;;;False;0;10 000;False;False;False;False;efi;14;none;never;;[Vsan_Datastore] 9d24c760-9e4c-a898-d419-d4f5ef33c500/EXTPRDADDSWDC02.vmx;[Vsan_Datastore] 9d24c760-9e4c-a898-d419-d4f5ef33c500/;[Vsan_Datastore] 9d24c760-9e4c-a898-d419-d4f5ef33c500/;[Vsan_Datastore] 9d24c760-9e4c-a898-d419-d4f5ef33c500/;;"Last backup: [15/06/2025 21:01:15]; Veeam server: [VICPRDVEEABCK04]; Job: [Job 2-PA3-T0-PRD]; Repository: [Catalyst_PA3]";;DC-VIC-00;VIC-PRD-00;vicprdhcitesx04.vc-ic.grpsc.net;Microsoft Windows Server 2016 or later (64-bit);Microsoft Windows Server 2016 or later (64-bit);vm-1297;421a219a-2c3b-d6ba-cd68-554d88bbe177;501a3a3d-c4df-b59f-ff0e-e54ab22de777;VMware vCenter Server 8.0.3 build-24322831;8.0.3.0;vicprdvmwavce00.vc-ic.grpsc.net;1fbf157c-55b0-44ce-9153-db75c59f120a
GRPPRDADDSWDC01;poweredOn;False;False;green;GRPPRDADDSWDC01.grpsc.net;connected;running;green;False;2025/05/27 03:41:44;;2020/06/25 12:49:59;2025/06/15 07:51:46;4;16 384;1;2;430 080;intel-haswell;normal;True;True;10.120.18.11;VIC-E-INF-TIER0-PED-3918;;;;;;;;1;8 192;/DC-VIC-00/VIC-PRD-00/Resources;group-v1247;/DC-VIC-00/PA4/DC;;True;notConfigured;;gray;-1;-1;1 749 544;1 624 292;1 610 904;high;powerOff;vmMonitoringDisabled;;;False;0;10 000;False;False;False;False;efi;14;none;never;;[Vsan_Datastore] d7bfc860-d269-e7ab-ad0a-d4f5ef33a2e0/GRPPRDADDSWDC01.vmx;[Vsan_Datastore] d7bfc860-d269-e7ab-ad0a-d4f5ef33a2e0/;[Vsan_Datastore] d7bfc860-d269-e7ab-ad0a-d4f5ef33a2e0/;[Vsan_Datastore] d7bfc860-d269-e7ab-ad0a-d4f5ef33a2e0/;;"Last backup: [15/06/2025 19:22:58]; Veeam server: [VICPRDVEEABCK04]; Job: [Job 2-PA4-T0-PRD]; Repository: [Catalyst_PA4]";;DC-VIC-00;VIC-PRD-00;vicprdhcitesx01.vc-ic.grpsc.net;Microsoft Windows Server 2016 or later (64-bit);Microsoft Windows Server 2016 or later (64-bit);vm-1286;421abb28-8b88-12a9-37a7-bb6d0f965cbb;501ad384-5652-258f-7544-27a5035e5542;VMware vCenter Server 8.0.3 build-24322831;8.0.3.0;vicprdvmwavce00.vc-ic.grpsc.net;1fbf157c-55b0-44ce-9153-db75c59f120a
GRPPRDADDSWDC02;poweredOn;False;False;green;GRPPRDADDSWDC02.grpsc.net;connected;running;green;False;2025/05/22 03:00:48;;2020/06/25 12:52:15;2025/06/14 12:08:06;4;16 384;1;2;256 000;intel-haswell;normal;True;True;10.120.18.12;VIC-E-INF-TIER0-PED-3918;;;;;;;;1;8 192;/DC-VIC-00/VIC-PRD-00/Resources;group-v1355;/DC-VIC-00/PA3/DC;;True;notConfigured;;gray;-1;-1;1 058 600;911 716;899 004;high;powerOff;vmMonitoringDisabled;;;False;0;10 000;False;False;False;False;efi;14;none;never;;[Vsan_Datastore] 9a24c760-58b9-ef29-f08c-d4f5ef33c500/GRPPRDADDSWDC02.vmx;[Vsan_Datastore] 9a24c760-58b9-ef29-f08c-d4f5ef33c500/;[Vsan_Datastore] 9a24c760-58b9-ef29-f08c-d4f5ef33c500/;[Vsan_Datastore] 9a24c760-58b9-ef29-f08c-d4f5ef33c500/;;"Last backup: [15/06/2025 21:01:40]; Veeam server: [VICPRDVEEABCK04]; Job: [Job 2-PA3-T0-PRD]; Repository: [Catalyst_PA3]";;DC-VIC-00;VIC-PRD-00;vicprdhcitesx06.vc-ic.grpsc.net;Microsoft Windows Server 2016 or later (64-bit);Microsoft Windows Server 2016 or later (64-bit);vm-1287;421a49f3-d868-4e20-0b49-670733ad2189;501adb6c-fc98-07a4-2a18-1d194ace4ab6;VMware vCenter Server 8.0.3 build-24322831;8.0.3.0;vicprdvmwavce00.vc-ic.grpsc.net;1fbf157c-55b0-44ce-9153-db75c59f120a
GRPPRDDST0ADM01;poweredOn;False;False;green;GRPPRDDST0ADM01.grpsc.net;connected;running;green;False;2025/05/27 03:06:43;;2020/07/07 10:49:54;2025/06/14 10:02:07;4;8 192;1;2;204 800;intel-haswell;normal;True;True;10.120.16.121;VIC-E-INF-TIER0-SERVICES;;;;;;;;1;8 192;/DC-VIC-00/VIC-PRD-00/Resources;group-v1252;/DC-VIC-00/PA4/Infrastructure;;True;notConfigured;;gray;-1;-1;839 908;292 200;275 040;high;powerOff;vmMonitoringDisabled;;;False;0;10 000;False;False;False;False;efi;14;none;never;;[Vsan_Datastore] d7bfc860-2e77-1eb0-5cd4-d4f5ef33a2e0/GRPPRDDST0ADM01.vmx;[Vsan_Datastore] d7bfc860-2e77-1eb0-5cd4-d4f5ef33a2e0/;[Vsan_Datastore] d7bfc860-2e77-1eb0-5cd4-d4f5ef33a2e0/;[Vsan_Datastore] d7bfc860-2e77-1eb0-5cd4-d4f5ef33a2e0/;;"Last backup: [15/06/2025 19:01:45]; Veeam server: [VICPRDVEEABCK04]; Job: [Job 2-PA4-T0-PRD]; Repository: [Catalyst_PA4]";;DC-VIC-00;VIC-PRD-00;vicprdhcitesx03.vc-ic.grpsc.net;Microsoft Windows Server 2016 or later (64-bit);Microsoft Windows Server 2016 or later (64-bit);vm-2551;421a85e0-4dd4-9935-f62b-5f42b7b23f73;501a6ad4-ba56-4b9e-e525-12271faa7ee8;VMware vCenter Server 8.0.3 build-24322831;8.0.3.0;vicprdvmwavce00.vc-ic.grpsc.net;1fbf157c-55b0-44ce-9153-db75c59f120a
